time,dow,hour
2021-01-04 22:00:00+00:00,Monday,22
2021-01-04 22:05:00+00:00,Monday,22
2021-01-04 22:10:00+00:00,Monday,22
2021-01-04 22:15:00+00:00,Monday,22
2021-01-04 22:20:00+00:00,Monday,22
2021-01-04 22:25:00+00:00,Monday,22
2021-01-04 22:30:00+00:00,Monday,22
2021-01-04 22:35:00+00:00,Monday,22
2021-01-04 22:40:00+00:00,Monday,22
2021-01-04 22:45:00+00:00,Monday,22
2021-01-04 22:50:00+00:00,Monday,22
2021-01-04 22:55:00+00:00,Monday,22
2021-01-05 22:00:00+00:00,Tuesday,22
2021-01-05 22:05:00+00:00,Tuesday,22
2021-01-05 22:10:00+00:00,Tuesday,22
2021-01-05 22:15:00+00:00,Tuesday,22
2021-01-05 22:20:00+00:00,Tuesday,22
2021-01-05 22:25:00+00:00,Tuesday,22
2021-01-05 22:30:00+00:00,Tuesday,22
2021-01-05 22:35:00+00:00,Tuesday,22
2021-01-05 22:40:00+00:00,Tuesday,22
2021-01-05 22:45:00+00:00,Tuesday,22
2021-01-05 22:50:00+00:00,Tuesday,22
2021-01-05 22:55:00+00:00,Tuesday,22
2021-01-06 22:00:00+00:00,Wednesday,22
2021-01-06 22:05:00+00:00,Wednesday,22
2021-01-06 22:10:00+00:00,Wednesday,22
2021-01-06 22:15:00+00:00,Wednesday,22
2021-01-06 22:20:00+00:00,Wednesday,22
2021-01-06 22:25:00+00:00,Wednesday,22
2021-01-06 22:30:00+00:00,Wednesday,22
2021-01-06 22:35:00+00:00,Wednesday,22
2021-01-06 22:40:00+00:00,Wednesday,22
2021-01-06 22:45:00+00:00,Wednesday,22
2021-01-06 22:50:00+00:00,Wednesday,22
2021-01-06 22:55:00+00:00,Wednesday,22
2021-01-07 22:00:00+00:00,Thursday,22
2021-01-07 22:05:00+00:00,Thursday,22
2021-01-07 22:10:00+00:00,Thursday,22
2021-01-07 22:15:00+00:00,Thursday,22
2021-01-07 22:20:00+00:00,Thursday,22
2021-01-07 22:25:00+00:00,Thursday,22
2021-01-07 22:30:00+00:00,Thursday,22
2021-01-07 22:35:00+00:00,Thursday,22
2021-01-07 22:40:00+00:00,Thursday,22
2021-01-07 22:45:00+00:00,Thursday,22
2021-01-07 22:50:00+00:00,Thursday,22
2021-01-07 22:55:00+00:00,Thursday,22
2021-01-08 22:00:00+00:00,Friday,22
2021-01-08 22:05:00+00:00,Friday,22
2021-01-08 22:10:00+00:00,Friday,22
2021-01-08 22:15:00+00:00,Friday,22
2021-01-08 22:20:00+00:00,Friday,22
2021-01-08 22:25:00+00:00,Friday,22
2021-01-08 22:30:00+00:00,Friday,22
2021-01-08 22:35:00+00:00,Friday,22
2021-01-08 22:40:00+00:00,Friday,22
2021-01-08 22:45:00+00:00,Friday,22
2021-01-08 22:50:00+00:00,Friday,22
2021-01-08 22:55:00+00:00,Friday,22
2021-01-08 23:00:00+00:00,Friday,23
2021-01-08 23:05:00+00:00,Friday,23
2021-01-08 23:10:00+00:00,Friday,23
2021-01-08 23:15:00+00:00,Friday,23
2021-01-08 23:20:00+00:00,Friday,23
2021-01-08 23:25:00+00:00,Friday,23
2021-01-08 23:30:00+00:00,Friday,23
2021-01-08 23:35:00+00:00,Friday,23
2021-01-08 23:40:00+00:00,Friday,23
2021-01-08 23:45:00+00:00,Friday,23
2021-01-08 23:50:00+00:00,Friday,23
2021-01-08 23:55:00+00:00,Friday,23
2021-01-09 00:00:00+00:00,Saturday,0
2021-01-09 00:05:00+00:00,Saturday,0
2021-01-09 00:10:00+00:00,Saturday,0
2021-01-09 00:15:00+00:00,Saturday,0
2021-01-09 00:20:00+00:00,Saturday,0
2021-01-09 00:25:00+00:00,Saturday,0
2021-01-09 00:30:00+00:00,Saturday,0
2021-01-09 00:35:00+00:00,Saturday,0
2021-01-09 00:40:00+00:00,Saturday,0
2021-01-09 00:45:00+00:00,Saturday,0
2021-01-09 00:50:00+00:00,Saturday,0
2021-01-09 00:55:00+00:00,Saturday,0
2021-01-09 01:00:00+00:00,Saturday,1
2021-01-09 01:05:00+00:00,Saturday,1
2021-01-09 01:10:00+00:00,Saturday,1
2021-01-09 01:15:00+00:00,Saturday,1
2021-01-09 01:20:00+00:00,Saturday,1
2021-01-09 01:25:00+00:00,Saturday,1
2021-01-09 01:30:00+00:00,Saturday,1
2021-01-09 01:35:00+00:00,Saturday,1
2021-01-09 01:40:00+00:00,Saturday,1
2021-01-09 01:45:00+00:00,Saturday,1
2021-01-09 01:50:00+00:00,Saturday,1
2021-01-09 01:55:00+00:00,Saturday,1
2021-01-09 02:00:00+00:00,Saturday,2
2021-01-09 02:05:00+00:00,Saturday,2
2021-01-09 02:10:00+00:00,Saturday,2
2021-01-09 02:15:00+00:00,Saturday,2
2021-01-09 02:20:00+00:00,Saturday,2
2021-01-09 02:25:00+00:00,Saturday,2
2021-01-09 02:30:00+00:00,Saturday,2
2021-01-09 02:35:00+00:00,Saturday,2
2021-01-09 02:40:00+00:00,Saturday,2
2021-01-09 02:45:00+00:00,Saturday,2
2021-01-09 02:50:00+00:00,Saturday,2
2021-01-09 02:55:00+00:00,Saturday,2
2021-01-09 03:00:00+00:00,Saturday,3
2021-01-09 03:05:00+00:00,Saturday,3
2021-01-09 03:10:00+00:00,Saturday,3
2021-01-09 03:15:00+00:00,Saturday,3
2021-01-09 03:20:00+00:00,Saturday,3
2021-01-09 03:25:00+00:00,Saturday,3
2021-01-09 03:30:00+00:00,Saturday,3
2021-01-09 03:35:00+00:00,Saturday,3
2021-01-09 03:40:00+00:00,Saturday,3
2021-01-09 03:45:00+00:00,Saturday,3
2021-01-09 03:50:00+00:00,Saturday,3
2021-01-09 03:55:00+00:00,Saturday,3
2021-01-09 04:00:00+00:00,Saturday,4
2021-01-09 04:05:00+00:00,Saturday,4
2021-01-09 04:10:00+00:00,Saturday,4
2021-01-09 04:15:00+00:00,Saturday,4
2021-01-09 04:20:00+00:00,Saturday,4
2021-01-09 04:25:00+00:00,Saturday,4
2021-01-09 04:30:00+00:00,Saturday,4
2021-01-09 04:35:00+00:00,Saturday,4
2021-01-09 04:40:00+00:00,Saturday,4
2021-01-09 04:45:00+00:00,Saturday,4
2021-01-09 04:50:00+00:00,Saturday,4
2021-01-09 04:55:00+00:00,Saturday,4
2021-01-09 05:00:00+00:00,Saturday,5
2021-01-09 05:05:00+00:00,Saturday,5
2021-01-09 05:10:00+00:00,Saturday,5
2021-01-09 05:15:00+00:00,Saturday,5
2021-01-09 05:20:00+00:00,Saturday,5
2021-01-09 05:25:00+00:00,Saturday,5
2021-01-09 05:30:00+00:00,Saturday,5
2021-01-09 05:35:00+00:00,Saturday,5
2021-01-09 05:40:00+00:00,Saturday,5
2021-01-09 05:45:00+00:00,Saturday,5
2021-01-09 05:50:00+00:00,Saturday,5
2021-01-09 05:55:00+00:00,Saturday,5
2021-01-09 06:00:00+00:00,Saturday,6
2021-01-09 06:05:00+00:00,Saturday,6
2021-01-09 06:10:00+00:00,Saturday,6
2021-01-09 06:15:00+00:00,Saturday,6
2021-01-09 06:20:00+00:00,Saturday,6
2021-01-09 06:25:00+00:00,Saturday,6
2021-01-09 06:30:00+00:00,Saturday,6
2021-01-09 06:35:00+00:00,Saturday,6
2021-01-09 06:40:00+00:00,Saturday,6
2021-01-09 06:45:00+00:00,Saturday,6
2021-01-09 06:50:00+00:00,Saturday,6
2021-01-09 06:55:00+00:00,Saturday,6
2021-01-09 07:00:00+00:00,Saturday,7
2021-01-09 07:05:00+00:00,Saturday,7
2021-01-09 07:10:00+00:00,Saturday,7
2021-01-09 07:15:00+00:00,Saturday,7
2021-01-09 07:20:00+00:00,Saturday,7
2021-01-09 07:25:00+00:00,Saturday,7
2021-01-09 07:30:00+00:00,Saturday,7
2021-01-09 07:35:00+00:00,Saturday,7
2021-01-09 07:40:00+00:00,Saturday,7
2021-01-09 07:45:00+00:00,Saturday,7
2021-01-09 07:50:00+00:00,Saturday,7
2021-01-09 07:55:00+00:00,Saturday,7
2021-01-09 08:00:00+00:00,Saturday,8
2021-01-09 08:05:00+00:00,Saturday,8
2021-01-09 08:10:00+00:00,Saturday,8
2021-01-09 08:15:00+00:00,Saturday,8
2021-01-09 08:20:00+00:00,Saturday,8
2021-01-09 08:25:00+00:00,Saturday,8
2021-01-09 08:30:00+00:00,Saturday,8
2021-01-09 08:35:00+00:00,Saturday,8
2021-01-09 08:40:00+00:00,Saturday,8
2021-01-09 08:45:00+00:00,Saturday,8
2021-01-09 08:50:00+00:00,Saturday,8
2021-01-09 08:55:00+00:00,Saturday,8
2021-01-09 09:00:00+00:00,Saturday,9
2021-01-09 09:05:00+00:00,Saturday,9
